Mouse,21,3.6
Rat,282,28.1
Guinea pig,410,35.1
Rabbit,2980,167
Rabbit,1520,83
Rabbit,2460,119
Rabbit,3570,164
Rabbit,4330,191
Rabbit,5330,233
Cat,3000,152
Macaque,4200,207
Dog,6600,288
Dog,14100,534
Dog I,24800,875
Dog,23600,872
Goat,36000,800
Chimpanzee,38000,1090
Sheep,46400,1254
Sheep,46800,1330
Woman,57200,1368
Woman,54800,1224
Woman,57900,1320
cow,300000,4221
cow,435000,8166
Beef heifers,482000,7754
cow,600000,7877
